Sexo,Municipios,Periodo,Total
Total,28048 Corpa,2016,672
Total,28049 Coslada,2025,80.512
Total,28049 Coslada,2024,80.760
Total,28049 Coslada,2023,80.171
Total,28049 Coslada,2022,80.596
Total,28049 Coslada,2021,81.273
Total,28049 Coslada,2020,81.391
Total,28049 Coslada,2019,81.661
Total,28049 Coslada,2018,81.860
Total,28049 Coslada,2017,83.011
Total,28049 Coslada,2016,84.533
Total,28050 Cubas de la Sagra,2025,7.238
Total,28050 Cubas de la Sagra,2024,6.988
Total,28050 Cubas de la Sagra,2023,6.817
Total,28050 Cubas de la Sagra,2022,6.698
Total,28050 Cubas de la Sagra,2021,6.642
Total,28050 Cubas de la Sagra,2020,6.539
Total,28050 Cubas de la Sagra,2019,6.413
Total,28050 Cubas de la Sagra,2018,6.310
Total,28050 Cubas de la Sagra,2017,6.112
Total,28050 Cubas de la Sagra,2016,5.971
Total,28053 Daganzo de Arriba,2025,10.764
Total,28053 Daganzo de Arriba,2024,10.703
Total,28053 Daganzo de Arriba,2023,10.611
Total,28053 Daganzo de Arriba,2022,10.650
Total,28053 Daganzo de Arriba,2021,10.520
Total,28053 Daganzo de Arriba,2020,10.337
Total,28053 Daganzo de Arriba,2019,10.205
Total,28053 Daganzo de Arriba,2018,10.061
Total,28053 Daganzo de Arriba,2017,10.082
Total,28053 Daganzo de Arriba,2016,9.981
Total,"28054 Escorial, El",2025,17.171
Total,"28054 Escorial, El",2024,17.176
Total,"28054 Escorial, El",2023,16.873
Total,"28054 Escorial, El",2022,16.618
Total,"28054 Escorial, El",2021,16.594
Total,"28054 Escorial, El",2020,16.365
Total,"28054 Escorial, El",2019,16.162
Total,"28054 Escorial, El",2018,15.842
Total,"28054 Escorial, El",2017,15.562
Total,"28054 Escorial, El",2016,15.364
Total,28055 Estremera,2025,1.473
Total,28055 Estremera,2024,1.467
Total,28055 Estremera,2023,1.453
Total,28055 Estremera,2022,1.410
Total,28055 Estremera,2021,1.381
Total,28055 Estremera,2020,1.334
Total,28055 Estremera,2019,1.260
Total,28055 Estremera,2018,1.236
Total,28055 Estremera,2017,1.261
Total,28055 Estremera,2016,1.319
Total,28056 Fresnedillas de la Oliva,2025,1.883
Total,28056 Fresnedillas de la Oliva,2024,1.837
Total,28056 Fresnedillas de la Oliva,2023,1.791
Total,28056 Fresnedillas de la Oliva,2022,1.784
Total,28056 Fresnedillas de la Oliva,2021,1.742
Total,28056 Fresnedillas de la Oliva,2020,1.651
Total,28056 Fresnedillas de la Oliva,2019,1.572
Total,28056 Fresnedillas de la Oliva,2018,1.554
Total,28056 Fresnedillas de la Oliva,2017,1.550
Total,28056 Fresnedillas de la Oliva,2016,1.547
Total,28057 Fresno de Torote,2025,2.561
Total,28057 Fresno de Torote,2024,2.548
Total,28057 Fresno de Torote,2023,2.522
Total,28057 Fresno de Torote,2022,2.444
Total,28057 Fresno de Torote,2021,2.416
Total,28057 Fresno de Torote,2020,2.299
Total,28057 Fresno de Torote,2019,2.221
Total,28057 Fresno de Torote,2018,2.181
Total,28057 Fresno de Torote,2017,2.115
Total,28057 Fresno de Torote,2016,2.044
Total,28058 Fuenlabrada,2025,190.076
Total,28058 Fuenlabrada,2024,190.790
Total,28058 Fuenlabrada,2023,188.736
Total,28058 Fuenlabrada,2022,189.891
Total,28058 Fuenlabrada,2021,192.233
Total,28058 Fuenlabrada,2020,194.514
Total,28058 Fuenlabrada,2019,193.700
Total,28058 Fuenlabrada,2018,193.586
Total,28058 Fuenlabrada,2017,194.669
Total,28058 Fuenlabrada,2016,194.171
Total,28059 Fuente el Saz de Jarama,2025,7.413
Total,28059 Fuente el Saz de Jarama,2024,7.379
Total,28059 Fuente el Saz de Jarama,2023,7.182
Total,28059 Fuente el Saz de Jarama,2022,7.034
Total,28059 Fuente el Saz de Jarama,2021,6.883
Total,28059 Fuente el Saz de Jarama,2020,6.807
Total,28059 Fuente el Saz de Jarama,2019,6.696
Total,28059 Fuente el Saz de Jarama,2018,6.541
Total,28059 Fuente el Saz de Jarama,2017,6.424
Total,28059 Fuente el Saz de Jarama,2016,6.403
Total,28060 Fuentidueña de Tajo,2025,2.372
Total,28060 Fuentidueña de Tajo,2024,2.328
Total,28060 Fuentidueña de Tajo,2023,2.270
Total,28060 Fuentidueña de Tajo,2022,2.250
Total,28060 Fuentidueña de Tajo,2021,2.228
Total,28060 Fuentidueña de Tajo,2020,2.136
Total,28060 Fuentidueña de Tajo,2019,2.053
Total,28060 Fuentidueña de Tajo,2018,1.985
Total,28060 Fuentidueña de Tajo,2017,1.980
Total,28060 Fuentidueña de Tajo,2016,1.936
Total,28061 Galapagar,2025,36.758
Total,28061 Galapagar,2024,36.184
Total,28061 Galapagar,2023,35.273
Total,28061 Galapagar,2022,34.834
Total,28061 Galapagar,2021,34.712
Total,28061 Galapagar,2020,34.497
Total,28061 Galapagar,2019,33.742
Total,28061 Galapagar,2018,33.379
Total,28061 Galapagar,2017,32.903
Total,28061 Galapagar,2016,32.404
Total,28062 Garganta de los Montes,2025,441
Total,28062 Garganta de los Montes,2024,416
Total,28062 Garganta de los Montes,2023,420
Total,28062 Garganta de los Montes,2022,395
Total,28062 Garganta de los Montes,2021,411
Total,28062 Garganta de los Montes,2020,377
Total,28062 Garganta de los Montes,2019,347
Total,28062 Garganta de los Montes,2018,348
Total,28062 Garganta de los Montes,2017,331
Total,28062 Garganta de los Montes,2016,351
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2025,396
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2024,397
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2023,388
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2022,361
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2021,344
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2020,309
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2019,316
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2018,318
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2017,315
Total,28063 Gargantilla del Lozoya y Pinilla de Buitrago,2016,325
Total,28064 Gascones,2025,252
Total,28064 Gascones,2024,239
Total,28064 Gascones,2023,229
Total,28064 Gascones,2022,212
Total,28064 Gascones,2021,191
Total,28064 Gascones,2020,176
Total,28064 Gascones,2019,193
Total,28064 Gascones,2018,188
Total,28064 Gascones,2017,176
Total,28064 Gascones,2016,171
Total,28065 Getafe,2025,193.238
Total,28065 Getafe,2024,189.906
Total,28065 Getafe,2023,185.899
Total,28065 Getafe,2022,183.219
Total,28065 Getafe,2021,183.095
Total,28065 Getafe,2020,185.180
Total,28065 Getafe,2019,183.374
Total,28065 Getafe,2018,180.747
Total,28065 Getafe,2017,178.288
Total,28065 Getafe,2016,176.659
Total,28066 Griñón,2025,10.799
Total,28066 Griñón,2024,10.718
Total,28066 Griñón,2023,10.087
Total,28066 Griñón,2022,10.491
Total,28066 Griñón,2021,10.467
Total,28066 Griñón,2020,10.435
Total,28066 Griñón,2019,10.319
Total,28066 Griñón,2018,10.178
Total,28066 Griñón,2017,10.060
